id,client_order_id,created_at,updated_at,submitted_at,filled_at,expired_at,canceled_at,failed_at,replaced_at,replaced_by,replaces,asset_id,symbol,asset_class,qty,filled_qty,filled_avg_price,order_class,order_type,type,side,time_in_force,limit_price,stop_price,status,extended_hours,legs
1418f285-3321-4316-8cbb-134272e036c3,5582ac26-0330-4b03-add6-ada921664533,2020-06-19T18:14:05.28986Z,2020-06-19T18:14:05.774642Z,2020-06-19T18:14:05.273333Z,2020-06-19T18:14:05.735521Z,,,,,,,ff997ef3-600a-4a31-b660-39782b92e0ce,TRIL,us_equity,60,60,8.34,,market,market,sell,day,,,filled,False,
fd2561ba-22c2-43b9-9e55-28bcad37e206,265cb0f8-4c3d-4b1e-a86f-5ed85f3cd16d,2020-06-19T13:49:17.0623Z,2020-06-19T13:49:29.226238Z,2020-06-19T13:49:17.024356Z,,,2020-06-19T13:49:29.203029Z,,,,,4c2d43ee-b859-49a8-a19a-4c1c2772db1c,GNMK,us_equity,36,0,,,limit,limit,buy,day,13.03,,canceled,False,
97e89f1e-305b-4982-9d8a-af2485fea9a9,e5f4870c-a56a-4941-a909-f07a72f3022f,2020-06-19T13:49:11.117872Z,2020-06-19T13:49:17.151203Z,2020-06-19T13:49:11.09275Z,,,2020-06-19T13:49:17.137267Z,,,,,f6427d38-fa90-4b7f-8dfa-505d0928dadc,EDNT,us_equity,172,0,,,limit,limit,buy,day,2.74,,canceled,False,
cf7f11d1-ded8-4bf8-b8d7-14f38c557be8,c439382f-0add-43e2-ac52-96561aa0ac04,2020-06-19T13:48:58.202546Z,2020-06-19T13:48:58.399127Z,2020-06-19T13:48:58.178591Z,2020-06-19T13:48:58.377193Z,,,,,,,878e3ce9-37d2-4387-9780-1433a27fa444,ATIF,us_equity,215,215,2.2,,limit,limit,buy,day,2.2,,filled,False,
233a5d5b-067d-495d-9ebc-f551ec0d83bb,1e6803ec-1e71-45b1-87c2-06c6ae350ceb,2020-06-19T13:48:57.028628Z,2020-06-19T13:48:57.28478Z,2020-06-19T13:48:57.007387Z,2020-06-19T13:48:57.250273Z,,,,,,,9ffe93a2-9d93-439f-8d7e-aa96b66162bd,MREO,us_equity,159,159,2.97,,limit,limit,buy,day,2.97,,filled,False,
455c27d1-b5eb-4b0b-81a4-61d30111d431,dab4b34c-46a4-43a6-9897-059cf812ed33,2020-06-19T13:48:52.168712Z,2020-06-19T13:48:52.370817Z,2020-06-19T13:48:52.142204Z,2020-06-19T13:48:52.339571Z,,,,,,,06463ea9-1d19-42e8-af9d-ee7f6378392f,DBD,us_equity,82,82,5.76,,limit,limit,buy,day,5.76,,filled,False,
54f0a716-b34c-4f60-9f81-247544790d64,2f745f63-cfa6-4e6d-a5d2-1d0bc4c3eda6,2020-06-19T13:48:49.197231Z,2020-06-19T13:48:49.409749Z,2020-06-19T13:48:49.174806Z,2020-06-19T13:48:49.377389Z,,,,,,,5e6b4fae-9b45-41e7-b9af-6a742b8fc7d8,XRF,us_equity,171,171,2.76,,limit,limit,buy,day,2.76,,filled,False,
9cb4608c-9a76-4184-a0a1-299e136b20d1,aefe5540-7c0f-416a-8da7-2a8b8888b4cc,2020-06-19T13:48:42.118463Z,2020-06-19T13:56:25.288594Z,2020-06-19T13:48:42.084495Z,2020-06-19T13:56:25.272303Z,,,,,,,b6030c42-743c-4418-a03b-9f50c0b8387b,AVCT,us_equity,124,124,3.8,,limit,limit,buy,day,3.8,,filled,False,
76b004e4-66ce-4d18-8224-547323e80d7d,0b2d36bb-3201-47a3-aedb-c3bface3efcf,2020-06-19T13:48:38.565289Z,2020-06-19T13:48:42.348179Z,2020-06-19T13:48:38.545637Z,,,2020-06-19T13:48:42.309963Z,,,,,5e6b4fae-9b45-41e7-b9af-6a742b8fc7d8,XRF,us_equity,171,0,,,limit,limit,buy,day,2.75,,canceled,False,
85927d3f-a4b6-4b92-a575-bd3a6ab831ec,d6e07125-f2e0-4311-a39c-15f13403d0e5,2020-06-19T13:48:37.475767Z,2020-06-19T13:50:24.68031Z,2020-06-19T13:48:37.441682Z,2020-06-19T13:50:24.66866Z,,,,,,,3f2c9164-7af1-4a92-a224-f450f300b6d1,ALIM,us_equity,66,66,7.14,,limit,limit,buy,day,7.14,,filled,False,
f715ad43-524c-4eba-a0c8-b4b699929f02,b3b40023-77d9-4cef-aa08-247a5a7f68ad,2020-06-19T13:48:36.35797Z,2020-06-19T13:48:36.499316Z,2020-06-19T13:48:36.334941Z,2020-06-19T13:48:36.487168Z,,,,,,,14835ce2-1f11-481d-a12b-d98b11f347b7,RYAM,us_equity,160,160,2.95,,limit,limit,buy,day,2.95,,filled,False,
